year,electricity_demand
2000,3835.860107421875
2001,3749.60009765625
2002,3865.2099609375
2003,3875.360107421875
2004,3963.260009765625
2005,4059.77001953125
2006,4065.360107421875
2007,4173.81982421875
2008,4140.35009765625
2009,3973.8701171875
2010,4139.919921875
2011,4126.1201171875
2012,4087.929931640625
2013,4113.490234375
2014,4149.22021484375
2015,4150.66015625
2016,4154.06005859375
2017,4108.6201171875
2018,4246.009765625
2019,4197.419921875
2020,4090.489990234375
2021,4192.93017578125
2022,4328.10009765625
2023,4272.81005859375
2024,4404.830078125
