Month,Agency,Ridership
01/01/2008,MNR,6453734
02/01/2008,MNR,6144377
03/01/2008,MNR,6602280
04/01/2008,B&T,24900328
04/01/2008,MNR,6787480
05/01/2008,MNR,6840901
05/01/2008,B&T,26172575
06/01/2008,MNR,7008657
06/01/2008,B&T,25940107
07/01/2008,MNR,7298152
07/01/2008,B&T,26189384
08/01/2008,MNR,6826968
08/01/2008,B&T,26448624
09/01/2008,MNR,6833215
09/01/2008,B&T,24633191
10/01/2008,MNR,7322841
10/01/2008,B&T,25258664
11/01/2008,MNR,6357900
11/01/2008,B&T,23914201
12/01/2008,MNR,6989977
12/01/2008,B&T,24218648
01/01/2009,B&T,22260909
01/01/2009,MNR,6176035
02/01/2009,B&T,21497488
02/01/2009,MNR,5731571
03/01/2009,B&T,24295234
03/01/2009,MNR,6593183
04/01/2009,B&T,24839950
04/01/2009,MNR,6600645
05/01/2009,MNR,6387435
05/01/2009,B&T,26019431
06/01/2009,MNR,6864270
06/01/2009,B&T,25847929
07/01/2009,MNR,6830791
07/01/2009,B&T,26152065
08/01/2009,MNR,6392629
08/01/2009,B&T,26084323
09/01/2009,MNR,6511692
09/01/2009,B&T,24838705
10/01/2009,MNR,6788990
10/01/2009,B&T,25300215
11/01/2009,MNR,6336672
11/01/2009,B&T,23898100
12/01/2009,MNR,6761648
12/01/2009,B&T,23775856
01/01/2010,B&T,22601000
01/01/2010,MNR,5935008
02/01/2010,B&T,19389016
02/01/2010,MNR,5572064
03/01/2010,B&T,24782495
03/01/2010,MNR,6769641
04/01/2010,B&T,24845798
04/01/2010,MNR,6675241
05/01/2010,MNR,6580762
05/01/2010,B&T,26252605
06/01/2010,MNR,6992372
06/01/2010,B&T,26218749
07/01/2010,MNR,6832493
07/01/2010,B&T,26250587
08/01/2010,MNR,6747243
08/01/2010,B&T,26468484
09/01/2010,MNR,6693644
09/01/2010,B&T,24895673
10/01/2010,MNR,6867305
10/01/2010,B&T,25745102
11/01/2010,MNR,6654086
11/01/2010,B&T,24276731
12/01/2010,MNR,6924465
12/01/2010,B&T,23232917
01/01/2011,B&T,20667163
01/01/2011,MNR,5916958
02/01/2011,B&T,20416996
02/01/2011,MNR,5685834
03/01/2011,B&T,24217298
03/01/2011,MNR,6896269
04/01/2011,B&T,23862645
04/01/2011,MNR,6648157
05/01/2011,MNR,6788759
05/01/2011,B&T,25431952
06/01/2011,MNR,7164508
06/01/2011,B&T,25570907
07/01/2011,MNR,6854351
07/01/2011,B&T,25760847
08/01/2011,MNR,6551648
08/01/2011,B&T,24569331
09/01/2011,MNR,6860460
09/01/2011,B&T,24267823
10/01/2011,MNR,6945233
10/01/2011,B&T,24418354
11/01/2011,MNR,6851523
11/01/2011,B&T,23755837
12/01/2011,MNR,7201122
12/01/2011,B&T,23977111
01/01/2012,MNR,6419039
01/01/2012,B&T,22057316
02/01/2012,MNR,6265035
02/01/2012,B&T,21540526
03/01/2012,MNR,6994606
03/01/2012,B&T,24224899
04/01/2012,MNR,6831738
04/01/2012,B&T,23927256
05/01/2012,MNR,7094282
05/01/2012,B&T,25487361
06/01/2012,MNR,7121125
06/01/2012,B&T,25516755
07/01/2012,MNR,7062979
07/01/2012,B&T,25161554
08/01/2012,MNR,7192537
08/01/2012,B&T,25947715
09/01/2012,MNR,6618194
09/01/2012,B&T,24037363
10/01/2012,MNR,6639905
10/01/2012,B&T,23242718
11/01/2012,MNR,6211787
11/01/2012,B&T,21345408
12/01/2012,MNR,6901053
12/01/2012,B&T,23688503
01/01/2013,MNR,6559572
01/01/2013,B&T,22576303
02/01/2013,MNR,5883759
02/01/2013,B&T,20084319
03/01/2013,MNR,6827779
03/01/2013,B&T,23650309
04/01/2013,MNR,6973346
04/01/2013,B&T,23916180
05/01/2013,MNR,7061067
05/01/2013,B&T,25329798
06/01/2013,MNR,6959429
06/01/2013,B&T,25006128
07/01/2013,MNR,7156528
07/01/2013,B&T,25161936
08/01/2013,MNR,6995610
08/01/2013,B&T,25905144
09/01/2013,MNR,6659062
09/01/2013,B&T,24083596
10/01/2013,MNR,7243522
10/01/2013,B&T,25324457
11/01/2013,MNR,6614618
11/01/2013,B&T,23456183
12/01/2013,MNR,6927541
12/01/2013,B&T,23298003
01/01/2014,MNR,6398208
01/01/2014,B&T,21019162
02/01/2014,MNR,5846639
02/01/2014,B&T,18939446
03/01/2014,MNR,6684169
03/01/2014,B&T,23704780
04/01/2014,MNR,7018716
04/01/2014,B&T,24107629
05/01/2014,MNR,7028443
05/01/2014,B&T,25942604
06/01/2014,MNR,7213680
06/01/2014,B&T,25646106
07/01/2014,MNR,7366433
07/01/2014,B&T,25704941
08/01/2014,MNR,6935605
08/01/2014,B&T,26211080
09/01/2014,MNR,7072104
09/01/2014,B&T,24762381
10/01/2014,MNR,7499635
10/01/2014,B&T,25472271
11/01/2014,MNR,6555045
11/01/2014,B&T,23646478
12/01/2014,MNR,7356438
12/01/2014,B&T,24479703
01/01/2015,MNR,6173387
01/01/2015,B&T,21240641
02/01/2015,MNR,5849842
02/01/2015,B&T,20223868
03/01/2015,MNR,7018867
03/01/2015,B&T,24114600
04/01/2015,MNR,7134749
04/01/2015,B&T,25092481
05/01/2015,MNR,7034781
05/01/2015,B&T,26787746
06/01/2015,MNR,7450980
06/01/2015,B&T,26408745
07/01/2015,MNR,7487082
07/01/2015,B&T,27166917
08/01/2015,MNR,7050090
08/01/2015,B&T,27435839
09/01/2015,MNR,7199158
09/01/2015,B&T,25455237
10/01/2015,MNR,7513133
10/01/2015,B&T,26488811
11/01/2015,MNR,6859735
11/01/2015,B&T,25048798
12/01/2015,MNR,7486227
12/01/2015,B&T,25657663
01/01/2016,MNR,6340920
01/01/2016,B&T,22457720
02/01/2016,MNR,6313644
02/01/2016,B&T,22617310
03/01/2016,MNR,7378875
03/01/2016,B&T,25954972
04/01/2016,MNR,6980262
04/01/2016,B&T,25720788
05/01/2016,MNR,7052626
05/01/2016,B&T,27305121
06/01/2016,MNR,7526378
06/01/2016,B&T,27547017
07/01/2016,MNR,7097402
07/01/2016,B&T,27528163
08/01/2016,MNR,7288957
08/01/2016,B&T,27874573
09/01/2016,MNR,7123552
09/01/2016,B&T,26310302
10/01/2016,MNR,7321189
10/01/2016,B&T,26274222
11/01/2016,MNR,7104083
11/01/2016,B&T,25382048
12/01/2016,MNR,7280395
12/01/2016,B&T,25523374
01/01/2017,MNR,6740205
01/01/2017,B&T,23678030
02/01/2017,MNR,6255704
02/01/2017,B&T,21817096
03/01/2017,MNR,7308653
03/01/2017,B&T,24825216
04/01/2017,MNR,7015523
04/01/2017,B&T,25563307
05/01/2017,MNR,7464531
05/01/2017,B&T,26934051
06/01/2017,MNR,7708077
06/01/2017,B&T,27312088
07/01/2017,MNR,7244976
07/01/2017,B&T,27666919
08/01/2017,MNR,7507575
08/01/2017,B&T,28400644
09/01/2017,MNR,7083644
09/01/2017,B&T,26685639
10/01/2017,MNR,7730577
10/01/2017,B&T,27200556
11/01/2017,MNR,7277877
11/01/2017,B&T,26080331
12/01/2017,MNR,7160806
12/01/2017,B&T,25865411
01/01/2018,Bus,45398837
01/01/2018,Subway,134683435
01/01/2018,MNR,6764660
01/01/2018,B&T,23864492
02/01/2018,Bus,44719811
02/01/2018,Subway,127432835
02/01/2018,MNR,6246009
02/01/2018,B&T,22860783
03/01/2018,Bus,49751875
03/01/2018,Subway,143982923
03/01/2018,MNR,7136383
03/01/2018,B&T,25806229
04/01/2018,MNR,7114637
04/01/2018,Bus,48544481
04/01/2018,Subway,141950369
04/01/2018,B&T,26642983
05/01/2018,MNR,7544006
05/01/2018,Bus,51833732
05/01/2018,Subway,150320833
05/01/2018,B&T,28357016
06/01/2018,MNR,7596231
06/01/2018,Bus,47637082
06/01/2018,Subway,142709768
06/01/2018,B&T,28668259
07/01/2018,MNR,7403479
07/01/2018,Bus,46047617
07/01/2018,Subway,136167499
07/01/2018,B&T,28683283
08/01/2018,MNR,7456258
08/01/2018,Bus,46810522
